epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,647.082,0.83302,0.85539,1.42033,0.9807,1,0.995,0.69788,0.99778,1.03397,1.609,0.000493928,0.000493928,0.000493928
60,658.6,0.68162,0.7964,1.17754,0.97786,1,0.995,0.68973,0.96672,1.53529,1.64014,0.000490762,0.000490762,0.000490762
61,669.175,0.5515,0.54628,1.09772,0.97786,1,0.995,0.68973,0.96672,1.53529,1.64014,0.0004872,0.0004872,0.0004872
62,678.991,0.64075,0.67182,1.25507,0.97786,1,0.995,0.68973,0.96672,1.53529,1.64014,0.000483242,0.000483242,0.000483242
63,688.094,0.54027,0.57789,1.06147,0.98326,1,0.995,0.76375,0.76088,1.12162,1.26444,0.000478888,0.000478888,0.000478888
64,697.314,0.61032,0.53031,1.09848,0.98326,1,0.995,0.76375,0.76088,1.12162,1.26444,0.000474138,0.000474138,0.000474138
65,705.916,0.56866,0.52695,1.21502,0.98326,1,0.995,0.76375,0.76088,1.12162,1.26444,0.000468992,0.000468992,0.000468992
66,714.698,0.58274,0.52517,1.23793,0.98451,1,0.995,0.8955,0.64066,0.82687,1.13779,0.00046345,0.00046345,0.00046345
67,724.068,0.47491,0.50058,1.15756,0.98451,1,0.995,0.8955,0.64066,0.82687,1.13779,0.000457512,0.000457512,0.000457512
68,733.265,0.57229,0.44791,1.10136,0.98451,1,0.995,0.8955,0.64066,0.82687,1.13779,0.000451178,0.000451178,0.000451178
69,743.105,0.59994,0.495,1.09386,0.98697,1,0.995,0.84042,0.55781,0.51933,1.06122,0.000444448,0.000444448,0.000444448
70,752.146,0.61691,0.57985,1.23237,0.98697,1,0.995,0.84042,0.55781,0.51933,1.06122,0.000437322,0.000437322,0.000437322
71,761.037,0.56054,0.42295,1.10173,0.98697,1,0.995,0.84042,0.55781,0.51933,1.06122,0.0004298,0.0004298,0.0004298
72,769.954,0.70066,0.48316,1.22409,0.98738,1,0.995,0.92908,0.4379,0.5516,0.96733,0.000421882,0.000421882,0.000421882
