epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,832.501,0.22647,0.75573,0.93356,0.98449,1,0.995,0.995,0.32365,1.7457,0.87252,0.0006932,0.0006932,0.0006932
68,844.39,0.18036,0.65342,0.88947,0.98069,1,0.995,0.995,0.30853,1.64594,0.82355,0.0006734,0.0006734,0.0006734
69,856.338,0.21478,0.86771,0.93452,0.98069,1,0.995,0.995,0.30853,1.64594,0.82355,0.0006536,0.0006536,0.0006536
70,868.589,0.18737,0.61898,0.92698,0.98215,1,0.995,0.995,0.30416,1.62081,0.81546,0.0006338,0.0006338,0.0006338
71,880.86,0.18529,0.69235,0.96516,0.98215,1,0.995,0.995,0.30416,1.62081,0.81546,0.000614,0.000614,0.000614
72,893.273,0.21248,0.70969,0.96207,0.98668,1,0.995,0.995,0.37814,1.88698,0.88922,0.0005942,0.0005942,0.0005942
73,905.194,0.18478,0.79533,0.93257,0.98668,1,0.995,0.995,0.37814,1.88698,0.88922,0.0005744,0.0005744,0.0005744
74,917.116,0.22016,0.82249,0.94184,0.98739,1,0.995,0.995,0.40741,2.12041,0.92583,0.0005546,0.0005546,0.0005546
75,929.494,0.17656,0.65639,0.93443,0.98739,1,0.995,0.995,0.40741,2.12041,0.92583,0.0005348,0.0005348,0.0005348
76,941.646,0.18977,0.64363,0.93568,0.98528,1,0.995,0.995,0.34455,2.03938,0.86382,0.000515,0.000515,0.000515
77,953.916,0.15474,0.6317,0.90233,0.98528,1,0.995,0.995,0.34455,2.03938,0.86382,0.0004952,0.0004952,0.0004952
78,966.739,0.21053,0.81906,0.88522,0.98115,1,0.995,0.995,0.26943,1.67035,0.79894,0.0004754,0.0004754,0.0004754
79,980.688,0.17864,0.6048,0.89416,0.98115,1,0.995,0.995,0.26943,1.67035,0.79894,0.0004556,0.0004556,0.0004556
80,993.486,0.16699,0.61644,0.84566,0.97305,1,0.995,0.995,0.25009,1.59452,0.78571,0.0004358,0.0004358,0.0004358
81,1005.77,0.14342,0.63671,0.92121,0.97305,1,0.995,0.995,0.25009,1.59452,0.78571,0.000416,0.000416,0.000416
82,1017.86,0.16734,0.59205,0.87579,0.96344,1,0.995,0.995,0.24439,1.61574,0.78944,0.0003962,0.0003962,0.0003962
83,1029.84,0.15699,0.61407,0.91436,0.96344,1,0.995,0.995,0.24439,1.61574,0.78944,0.0003764,0.0003764,0.0003764
84,1042.62,0.15411,0.6108,0.90813,0.95547,1,0.995,0.995,0.22614,1.62457,0.77452,0.0003566,0.0003566,0.0003566
85,1055.4,0.16411,0.69145,0.89528,0.95547,1,0.995,0.995,0.22614,1.62457,0.77452,0.0003368,0.0003368,0.0003368
86,1068.32,0.15873,0.58547,0.90464,0.9474,1,0.995,0.995,0.21179,1.60928,0.75941,0.000317,0.000317,0.000317
87,1080.63,0.1325,0.60166,0.91153,0.9474,1,0.995,0.995,0.21179,1.60928,0.75941,0.0002972,0.0002972,0.0002972
88,1092.88,0.16594,0.82463,0.94634,0.94655,1,0.995,0.995,0.19914,1.57507,0.74089,0.0002774,0.0002774,0.0002774
89,1105.02,0.14721,0.58485,0.91084,0.94655,1,0.995,0.995,0.19914,1.57507,0.74089,0.0002576,0.0002576,0.0002576
90,1119.66,0.13668,0.83375,0.9774,0.97512,1,0.995,0.995,0.18911,1.42039,0.7301,0.0002378,0.0002378,0.0002378
91,1132.45,0.14818,1.46506,0.86905,0.97512,1,0.995,0.995,0.18911,1.42039,0.7301,0.000218,0.000218,0.000218
92,1144.68,0.1404,1.51136,0.89002,0.97737,1,0.995,0.995,0.18182,1.37394,0.72463,0.0001982,0.0001982,0.0001982
93,1157.58,0.17031,1.86046,1.02134,0.97737,1,0.995,0.995,0.18182,1.37394,0.72463,0.0001784,0.0001784,0.0001784
94,1170.06,0.11917,1.40739,0.86273,0.98409,1,0.995,0.995,0.18352,1.3039,0.7279,0.0001586,0.0001586,0.0001586
95,1181.85,0.14628,1.58719,0.87904,0.98409,1,0.995,0.995,0.18352,1.3039,0.7279,0.0001388,0.0001388,0.0001388
96,1194.32,0.11923,1.30834,0.90612,0.98777,1,0.995,0.995,0.18988,1.30018,0.73701,0.000119,0.000119,0.000119
97,1207.25,0.11201,1.53926,0.94482,0.98777,1,0.995,0.995,0.18988,1.30018,0.73701,9.92e-05,9.92e-05,9.92e-05
98,1218.97,0.10818,1.31294,0.92336,0.98849,1,0.995,0.995,0.19537,1.29613,0.74199,7.94e-05,7.94e-05,7.94e-05
99,1231.77,0.13695,1.43012,0.93068,0.98849,1,0.995,0.995,0.19537,1.29613,0.74199,5.96e-05,5.96e-05,5.96e-05
100,1244.5,0.11159,1.23626,0.9816,0.9885,1,0.995,0.995,0.19339,1.2958,0.7409,3.98e-05,3.98e-05,3.98e-05
