epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,944.677,0.59127,0.49172,1.03701,0.9544,1,0.995,0.54324,0.71959,2.08657,1.17215,0.000344282,0.000344282,0.000344282
81,954.994,0.46055,0.42612,1.10203,0.97844,1,0.995,0.64581,0.59936,1.36076,1.12822,0.0003328,0.0003328,0.0003328
82,964.355,0.45115,0.41614,1.05993,0.97844,1,0.995,0.64581,0.59936,1.36076,1.12822,0.000320922,0.000320922,0.000320922
83,974.397,0.57939,0.48008,1.17105,0.97844,1,0.995,0.64581,0.59936,1.36076,1.12822,0.000308648,0.000308648,0.000308648
84,984.867,0.42443,0.37805,0.99182,0.97936,1,0.995,0.92909,0.41944,0.64585,1.01019,0.000295978,0.000295978,0.000295978
85,994.715,0.43657,0.46761,1.03607,0.97936,1,0.995,0.92909,0.41944,0.64585,1.01019,0.000282912,0.000282912,0.000282912
86,1005.24,0.48826,0.44464,1.02913,0.97936,1,0.995,0.92909,0.41944,0.64585,1.01019,0.00026945,0.00026945,0.00026945
87,1014.88,0.46291,0.43421,1.00262,0.97936,1,0.995,0.92909,0.41944,0.64585,1.01019,0.000255592,0.000255592,0.000255592
88,1025.49,0.33899,0.35185,0.9991,0.98691,1,0.995,0.90676,0.42049,0.46135,1.00182,0.000241338,0.000241338,0.000241338
89,1035.88,0.46765,0.39629,1.0103,0.98691,1,0.995,0.90676,0.42049,0.46135,1.00182,0.000226688,0.000226688,0.000226688
90,1046.27,0.42592,0.41797,0.95622,0.98691,1,0.995,0.90676,0.42049,0.46135,1.00182,0.000211642,0.000211642,0.000211642
91,1056.82,0.77125,0.98408,1.35719,0.98691,1,0.995,0.90676,0.42049,0.46135,1.00182,0.0001962,0.0001962,0.0001962
92,1067.44,0.55363,1.15128,1.17055,0.98678,1,0.995,0.8955,0.57791,0.52331,1.12288,0.000180362,0.000180362,0.000180362
93,1078.22,0.49005,0.60862,1.18592,0.98678,1,0.995,0.8955,0.57791,0.52331,1.12288,0.000164128,0.000164128,0.000164128
94,1088.62,0.68397,0.74116,1.4377,0.98678,1,0.995,0.8955,0.57791,0.52331,1.12288,0.000147498,0.000147498,0.000147498
95,1098.5,0.52417,0.84548,1.13133,0.98678,1,0.995,0.8955,0.57791,0.52331,1.12288,0.000130472,0.000130472,0.000130472
96,1108.43,0.46527,0.83056,1.07172,0.98671,1,0.995,0.85159,0.60519,0.5191,1.14953,0.00011305,0.00011305,0.00011305
97,1118.67,0.52907,0.71792,1.27183,0.98671,1,0.995,0.85159,0.60519,0.5191,1.14953,9.5232e-05,9.5232e-05,9.5232e-05
98,1153.98,0.48285,0.56037,1.16584,0.98671,1,0.995,0.85159,0.60519,0.5191,1.14953,7.7018e-05,7.7018e-05,7.7018e-05
